time_absolute,request_type,value
1785074535.107738,Generative Requests,1
1785074544.8618321,Generative Requests,1
1785074550.7336438,Generative Requests,1
1785074554.4780817,Generative Requests,1
1785074573.0594056,Generative Requests,1
1785074579.1571107,Generative Requests,1
1785074589.0237584,Generative Requests,1
1785074599.097383,Generative Requests,1
1785074617.9325335,Generative Requests,1
1785074624.0102713,Generative Requests,1
1785074633.9030583,Generative Requests,1
1785074643.9536831,Generative Requests,1
1785074654.002956,Generative Requests,1
1785074672.8484879,Generative Requests,1
1785074683.0617354,Generative Requests,1
1785074701.9488764,Generative Requests,1
1785074708.0610762,Generative Requests,1
1785074711.7576172,Generative Requests,1
1785074721.5941017,Generative Requests,1
1785074740.4716032,Generative Requests,1
1785074744.5900257,Generative Requests,1
1785074754.4854803,Generative Requests,1
1785074764.5545583,Generative Requests,1
1785074770.4485238,Generative Requests,1
1785074774.0937717,Generative Requests,1
1785074783.8930733,Generative Requests,1
1785074789.8234732,Generative Requests,1
1785074793.62328,Generative Requests,1
1785074799.3977532,Generative Requests,1
1785074803.0678403,Generative Requests,1
1785074806.746752,Generative Requests,1
1785074812.4940853,Generative Requests,1
1785074818.2146251,Generative Requests,1
1785074836.9237604,Generative Requests,1
1785074840.9376307,Generative Requests,1
1785074844.6443071,Generative Requests,1
1785074854.4391105,Generative Requests,1
1785074858.3521917,Generative Requests,1
1785074862.0189261,Generative Requests,1
1785074871.8203194,Generative Requests,1
1785074875.7332377,Generative Requests,1
1785074879.4294727,Generative Requests,1
1785074883.109743,Generative Requests,1
1785074892.8960772,Generative Requests,1
1785074896.8057263,Generative Requests,1
1785074900.4828813,Generative Requests,1
1785074904.1572351,Generative Requests,1
1785074913.9392054,Generative Requests,1
1785074923.9582539,Generative Requests,1
1785074934.012924,Generative Requests,1
1785074944.2109694,Generative Requests,1
1785074950.1243484,Generative Requests,1
1785074959.9983394,Generative Requests,1
1785074970.1133792,Generative Requests,1
1785074980.180126,Generative Requests,1
1785074990.3257842,Generative Requests,1
1785075000.4695141,Generative Requests,1
1785075010.4869246,Generative Requests,1
1785075020.6246893,Generative Requests,1
1785075030.6476638,Generative Requests,1
1785075040.7404583,Generative Requests,1
1785075046.6489754,Generative Requests,1
1785075050.4237576,Generative Requests,1
1785075060.1950698,Generative Requests,1
1785075070.2457619,Generative Requests,1
1785075074.122691,Generative Requests,1
1785075077.7446716,Generative Requests,1
1785075087.6074772,Generative Requests,1
1785075097.6307085,Generative Requests,1
1785075101.5329244,Generative Requests,1
1785075105.192471,Generative Requests,1
1785075108.7964745,Generative Requests,1
1785075112.413758,Generative Requests,1
1785075118.0535707,Generative Requests,1
1785075123.8582025,Generative Requests,1
1785075133.6766162,Generative Requests,1
1785075137.5887535,Generative Requests,1
1785075143.2806568,Generative Requests,1
1785075148.965303,Generative Requests,1
1785075152.6670609,Generative Requests,1
1785075156.2897487,Generative Requests,1
1785075159.9437006,Generative Requests,1
1785075163.6345453,Generative Requests,1
1785075182.2356865,Generative Requests,1
1785075192.5578427,Generative Requests,1
1785075198.455246,Generative Requests,1
1785075202.2211788,Generative Requests,1
1785075205.926619,Generative Requests,1
1785075209.546248,Generative Requests,1
1785075219.4201047,Generative Requests,1
1785075223.32217,Generative Requests,1
1785075227.0062623,Generative Requests,1
1785075236.7957675,Generative Requests,1
1785075240.7182457,Generative Requests,1
